feature,importance,model,feature_set
Weather Condition_Cloudy,0.019053526023090128,Linear Regression,vendor
promo_discount,0.01666291798163544,Linear Regression,vendor
Category_Clothing,0.016352425069832352,Linear Regression,vendor
dow_cos,0.014438531645126318,Linear Regression,vendor
Weather Condition_Sunny,0.013636033161501915,Linear Regression,vendor
ma_7_sales,0.01250330495402796,Linear Regression,vendor
Weather Condition_Rainy,0.009133745156506001,Linear Regression,vendor
Store ID_S004,0.007723056952034596,Linear Regression,vendor
Category_Electronics,0.0015368948412189942,Linear Regression,vendor
Store ID_S002,0.001392096648547947,Linear Regression,vendor
lag_30_sales,0.0005474337658699646,Linear Regression,vendor
Demand Forecast,108.40628143557228,Ridge,vendor
Inventory Level,0.5322072194043052,Ridge,vendor
month_cos,0.42626813791845425,Ridge,vendor
Price,0.39417586181892544,Ridge,vendor
Competitor Pricing,0.39384008868371606,Ridge,vendor
day_cos,0.3839098324432785,Ridge,vendor
Product ID_P0010,0.24250124815263632,Ridge,vendor
Product ID_P0019,0.23100297229502179,Ridge,vendor
Product ID_P0013,0.21442528053883886,Ridge,vendor
Product ID_P0018,0.2086556864090471,Ridge,vendor
Product ID_P0020,0.17079087692961475,Ridge,vendor
day_sin,0.15629137757846093,Ridge,vendor
Product ID_P0016,0.12271109977700825,Ridge,vendor
Category_Groceries,0.12048995466843093,Ridge,vendor
Store ID_S005,0.11568484109426952,Ridge,vendor
month_sin,0.10987352015885546,Ridge,vendor
Region_East,0.10595699898002163,Ridge,vendor
Product ID_P0003,0.10542065581381063,Ridge,vendor
Product ID_P0007,0.09981037006495187,Ridge,vendor
month,0.09517152856699108,Ridge,vendor
inventory_to_ma7,0.07934771061536862,Ridge,vendor
Product ID_P0017,0.07771244283446072,Ridge,vendor
Store ID_S001,0.07718017528978471,Ridge,vendor
Product ID_P0015,0.07710810960475714,Ridge,vendor
std_7_sales,0.07652034165064163,Ridge,vendor
Product ID_P0009,0.0727691365983517,Ridge,vendor
Product ID_P0005,0.07064441144759237,Ridge,vendor
price_to_competitor,0.06838865321542578,Ridge,vendor
ma_30_sales,0.060436000023194054,Ridge,vendor
Product ID_P0001,0.059665611645189166,Ridge,vendor
Product ID_P0014,0.05948527935319438,Ridge,vendor
Category_Furniture,0.05817715964402753,Ridge,vendor
Product ID_P0008,0.05539128168381554,Ridge,vendor
day_of_week,0.0546206232800245,Ridge,vendor
weekofyear,0.05033201932689234,Ridge,vendor
price_discount,0.049691603863968606,Ridge,vendor
Category_Toys,0.04749271313673199,Ridge,vendor
Store ID_S003,0.04483441914938325,Ridge,vendor
Product ID_P0012,0.04410547502315099,Ridge,vendor
lag_7_sales,0.041991986976118306,Ridge,vendor
dow_sin,0.041783717882723725,Ridge,vendor
Product ID_P0006,0.0398389275396559,Ridge,vendor
Seasonality_Summer,0.039693795271318,Ridge,vendor
Region_West,0.03948048065689802,Ridge,vendor
Seasonality_Autumn,0.03746437020907827,Ridge,vendor
Region_South,0.03376131569881803,Ridge,vendor
Region_North,0.03271520260410373,Ridge,vendor
Holiday/Promotion,0.030787487045212836,Ridge,vendor
Product ID_P0004,0.02765977792508689,Ridge,vendor
Product ID_P0002,0.027647402474590924,Ridge,vendor
Seasonality_Spring,0.027376172689813506,Ridge,vendor
lag_1_sales,0.027053758932039457,Ridge,vendor
Seasonality_Winter,0.025146747628064476,Ridge,vendor
Weather Condition_Snowy,0.023544875798883143,Ridge,vendor
Discount,0.023321597757776865,Ridge,vendor
discount_rate,0.023321597716448778,Ridge,vendor
Product ID_P0011,0.019883675079465743,Ridge,vendor
Weather Condition_Cloudy,0.019047456289555932,Ridge,vendor
promo_discount,0.01664775066916298,Ridge,vendor
Category_Clothing,0.016343654680338854,Ridge,vendor
dow_cos,0.014435026979384421,Ridge,vendor
Weather Condition_Sunny,0.013660882024210511,Ridge,vendor
ma_7_sales,0.012499399866020966,Ridge,vendor
Weather Condition_Rainy,0.009163462440741472,Ridge,vendor
Store ID_S004,0.007713936045432401,Ridge,vendor
Category_Electronics,0.0015235728422957613,Ridge,vendor
Store ID_S002,0.0013841827080696525,Ridge,vendor
lag_30_sales,0.0005487799462212487,Ridge,vendor
Demand Forecast,0.9983736787757802,Random Forest,vendor
Inventory Level,0.00028673508301423935,Random Forest,vendor
lag_30_sales,9.563031971121035e-05,Random Forest,vendor
ma_30_sales,9.445646312715841e-05,Random Forest,vendor
price_to_competitor,9.429046576383671e-05,Random Forest,vendor
lag_7_sales,9.257482391291726e-05,Random Forest,vendor
lag_1_sales,8.980018124294763e-05,Random Forest,vendor
std_7_sales,8.972004782612701e-05,Random Forest,vendor
inventory_to_ma7,7.735031200372324e-05,Random Forest,vendor
ma_7_sales,7.421934086923986e-05,Random Forest,vendor
day_sin,6.915704816337601e-05,Random Forest,vendor
day_cos,6.898171724366726e-05,Random Forest,vendor
price_discount,5.817914635236255e-05,Random Forest,vendor
Competitor Pricing,5.022816716218033e-05,Random Forest,vendor
Price,4.5471767754242796e-05,Random Forest,vendor
weekofyear,3.37731443148214e-05,Random Forest,vendor
dow_sin,2.3349006391548264e-05,Random Forest,vendor
day_of_week,2.044269457034548e-05,Random Forest,vendor
promo_discount,1.750302172324987e-05,Random Forest,vendor
dow_cos,1.622887832798845e-05,Random Forest,vendor
discount_rate,1.178183009246364e-05,Random Forest,vendor
Discount,1.1593631777808712e-05,Random Forest,vendor
month_cos,1.0688892771415924e-05,Random Forest,vendor
month_sin,9.416534677886988e-06,Random Forest,vendor
Holiday/Promotion,8.680671341555054e-06,Random Forest,vendor
Region_East,7.995767974354088e-06,Random Forest,vendor
month,7.708312997306983e-06,Random Forest,vendor
Seasonality_Summer,7.30599036205084e-06,Random Forest,vendor
Weather Condition_Cloudy,7.236437459275699e-06,Random Forest,vendor
Weather Condition_Sunny,6.946722263073403e-06,Random Forest,vendor
Weather Condition_Snowy,6.742066549022533e-06,Random Forest,vendor
Region_North,6.71849893602057e-06,Random Forest,vendor
Seasonality_Spring,6.6398867784801735e-06,Random Forest,vendor
Weather Condition_Rainy,6.538593896768018e-06,Random Forest,vendor
Seasonality_Autumn,6.318728716910405e-06,Random Forest,vendor
Category_Groceries,6.309629423888098e-06,Random Forest,vendor
Seasonality_Winter,6.29190592353491e-06,Random Forest,vendor
Store ID_S004,6.15238936641696e-06,Random Forest,vendor
Category_Furniture,6.008616000322774e-06,Random Forest,vendor
Region_South,5.984006331691544e-06,Random Forest,vendor
Region_West,5.9199262067811755e-06,Random Forest,vendor
Store ID_S002,5.832053789988649e-06,Random Forest,vendor
Store ID_S003,5.8160777413093175e-06,Random Forest,vendor
Store ID_S001,5.437328680401462e-06,Random Forest,vendor
Category_Electronics,5.397673308439175e-06,Random Forest,vendor
Store ID_S005,5.376238804586066e-06,Random Forest,vendor
Category_Clothing,5.163598347030822e-06,Random Forest,vendor
Category_Toys,4.85305369695598e-06,Random Forest,vendor
Product ID_P0005,2.8110875259078563e-06,Random Forest,vendor
Product ID_P0017,2.226410874436869e-06,Random Forest,vendor
Product ID_P0009,1.98750637111124e-06,Random Forest,vendor
Product ID_P0003,1.817342397306363e-06,Random Forest,vendor
Product ID_P0001,1.7546308166443167e-06,Random Forest,vendor
Product ID_P0019,1.6794361841458435e-06,Random Forest,vendor
Product ID_P0002,1.6779677035625435e-06,Random Forest,vendor
Product ID_P0018,1.6450793430882946e-06,Random Forest,vendor
Product ID_P0016,1.5490789645860795e-06,Random Forest,vendor
Product ID_P0020,1.4816684279583361e-06,Random Forest,vendor
Product ID_P0004,1.479403593151388e-06,Random Forest,vendor
Product ID_P0015,1.4271813062494686e-06,Random Forest,vendor
Product ID_P0007,1.4270810902476274e-06,Random Forest,vendor
Product ID_P0010,1.3859076433625894e-06,Random Forest,vendor
Product ID_P0012,1.2897549654392951e-06,Random Forest,vendor
Product ID_P0013,1.28908862405011e-06,Random Forest,vendor
Product ID_P0008,1.267147468505362e-06,Random Forest,vendor
Product ID_P0011,1.2161273614290264e-06,Random Forest,vendor
Product ID_P0006,1.108919991427551e-06,Random Forest,vendor
Product ID_P0014,8.537098761544203e-07,Random Forest,vendor
Demand Forecast,0.8876433968544006,XGBoost,vendor
Inventory Level,0.06027540937066078,XGBoost,vendor
inventory_to_ma7,0.019023379310965538,XGBoost,vendor
ma_7_sales,0.004167296923696995,XGBoost,vendor
Product ID_P0007,0.002273052930831909,XGBoost,vendor
Seasonality_Autumn,0.001998967258259654,XGBoost,vendor
Product ID_P0011,0.0019245613366365433,XGBoost,vendor
Product ID_P0004,0.0009189625852741301,XGBoost,vendor
Product ID_P0001,0.0007976044435054064,XGBoost,vendor
Category_Groceries,0.0007290974026545882,XGBoost,vendor
price_discount,0.0006863877060823143,XGBoost,vendor
Product ID_P0015,0.0006143352948129177,XGBoost,vendor
Product ID_P0009,0.0006066870409995317,XGBoost,vendor
day_cos,0.0005564627354033291,XGBoost,vendor
ma_30_sales,0.0005419514491222799,XGBoost,vendor
std_7_sales,0.0005190513911657035,XGBoost,vendor
lag_7_sales,0.0005137503612786531,XGBoost,vendor
lag_30_sales,0.00048737338511273265,XGBoost,vendor
Category_Toys,0.00047723963507451117,XGBoost,vendor
day_sin,0.0004570728342514485,XGBoost,vendor
Competitor Pricing,0.00045573589159175754,XGBoost,vendor
month,0.00043247549911029637,XGBoost,vendor
lag_1_sales,0.00043110098340548575,XGBoost,vendor
discount_rate,0.0004171073960606009,XGBoost,vendor
Category_Clothing,0.00041474905447103083,XGBoost,vendor
Store ID_S004,0.0004134620539844036,XGBoost,vendor
weekofyear,0.00041070484439842403,XGBoost,vendor
Product ID_P0006,0.0004031310381833464,XGBoost,vendor
Category_Furniture,0.00040179607458412647,XGBoost,vendor
price_to_competitor,0.0004001721099484712,XGBoost,vendor
Seasonality_Spring,0.0003806382301263511,XGBoost,vendor
Region_North,0.0003797273675445467,XGBoost,vendor
Store ID_S001,0.0003761000116355717,XGBoost,vendor
Price,0.00037436370621435344,XGBoost,vendor
Seasonality_Winter,0.00037283936399035156,XGBoost,vendor
Weather Condition_Rainy,0.000369038840290159,XGBoost,vendor
Product ID_P0018,0.0003520197933539748,XGBoost,vendor
month_sin,0.0003476057609077543,XGBoost,vendor
Discount,0.000327073794323951,XGBoost,vendor
Product ID_P0020,0.00032646593172103167,XGBoost,vendor
Product ID_P0010,0.0003069447120651603,XGBoost,vendor
Store ID_S005,0.00030239037005230784,XGBoost,vendor
Region_South,0.00030131888343021274,XGBoost,vendor
Weather Condition_Snowy,0.0003009348874911666,XGBoost,vendor
Category_Electronics,0.0003001187869813293,XGBoost,vendor
Product ID_P0014,0.00029712964897044003,XGBoost,vendor
promo_discount,0.0002962448925245553,XGBoost,vendor
dow_sin,0.0002923198917414993,XGBoost,vendor
